Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
1,1,3,p5,p,Mixed-Clones,Clone,0,373,186,511,75,4.919961357,3.696911626,1.330830124,0.751410704,0.751410704,-0.124122623
2,2,3,p5,p,Mixed-Clones,Clone,0,278,179,268,35,4.568536053,2.973132442,1.536606977,0.650784498,0.650784498,-0.186562801
3,3,3,p5,p,Mixed-Clones,Clone,0,164,81,401,47,5.499265185,4.060868633,1.354209082,0.738438409,0.738438409,-0.131685722
1,1,3,m6,m,Mixed-Clones,Clone,0,75,356,29,620,3.654977902,5.159958933,0.708334688,1.411762005,0.708334688,-0.14976149
2,2,3,m6,m,Mixed-Clones,Clone,0,47,167,10,207,3.057607677,4.819895167,0.634372237,1.576361547,0.634372237,-0.197655832
3,3,3,m6,m,Mixed-Clones,Clone,0,43,180,15,456,3.552020271,5.534706145,0.641772152,1.558185405,0.641772152,-0.192619132
1,1,3,m1,m,Mixed-Populations,Population,0,200,373,49,591,3.198673118,5.065407784,0.631473961,1.583596572,0.631473961,-0.199644553
2,2,3,m1,m,Mixed-Populations,Population,0,125,213,25,207,2.995732274,4.576596814,0.654576402,1.527705548,0.654576402,-0.184039656
3,3,3,m1,m,Mixed-Populations,Population,0,106,269,45,322,3.748393582,4.785010352,0.783361645,1.276549607,0.783361645,-0.106037696
1,1,3,p2,p,Mixed-Populations,Population,0,336,113,551,84,5.099793835,4.308599166,1.183631533,0.844857519,0.844857519,-0.073216527
2,2,3,p2,p,Mixed-Populations,Population,0,261,76,214,28,4.406625794,3.606641356,1.221808702,0.818458731,0.818458731,-0.087003214
3,3,3,p2,p,Mixed-Populations,Population,0,223,40,451,17,5.309465754,3.749504076,1.416044801,0.706192346,0.706192346,-0.151076994
1,1,3,m4,m,Mixed-Populations,Population,0,52,371,5,587,2.26336438,5.063992943,0.446952515,2.237374145,0.446952515,-0.349738615
2,2,3,m4,m,Mixed-Populations,Population,0,57,223,5,233,2.171556831,4.649036868,0.467098217,2.140877366,0.467098217,-0.330591791
3,3,3,m4,m,Mixed-Populations,Population,0,17,208,42,387,5.50962646,5.226056799,1.054260731,0.948531963,1.054260731,0.02294803
1,1,3,m5,m,Mixed-Populations,Population,0,123,298,52,560,3.744229549,5.236013483,0.715091655,1.398422136,0.715091655,-0.14563829
2,2,3,m5,m,Mixed-Populations,Population,0,119,212,13,216,2.39099605,4.623862319,0.517099318,1.933864474,0.517099318,-0.286426035
3,3,3,m5,m,Mixed-Populations,Population,0,111,249,19,402,2.840078964,5.084169378,0.558612185,1.790150712,0.558612185,-0.252889595
1,1,3,p5,p,Mixed-Populations,Population,0,397,100,522,100,4.878901493,4.605170186,1.059439998,0.94389489,0.94389489,-0.025076365
